ID,Name,Pos,Team,Value,Ownership,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins,6_Pts,6_xMins
411,Haaland,F,MCI,15.5,67.9,6.71,90,7.04,90,6.47,90,7.05,90,6.30,90
367,Gakpo,M,LIV,7,6.2,6.87,90,6.76,90,6.72,90,6.70,90,5.81,90
154,Palmer,M,CHE,9.5,15.7,6.51,82,5.72,82,6.94,82,6.37,82,6.92,82
165,João Pedro,F,CHE,7.6,67.9,6.20,90,5.49,90,6.52,90,6.03,90,6.48,90
12,Saka,M,ARS,9.5,10.4,5.69,67,5.75,67,6.22,67,5.68,67,6.38,67
388,Guéhi,D,MCI,6,19.4,5.96,90,6.56,90,5.23,90,6.63,90,4.79,90
427,Mbeumo,M,MUN,8,35.9,6.21,90,6.00,90,4.93,90,5.84,90,5.83,90
397,Semenyo,M,MCI,8.5,24.2,5.75,90,6.07,90,5.47,90,6.09,90,5.27,90
379,Isak,F,LIV,9,16.5,5.85,90,5.77,90,5.74,90,5.72,90,4.98,90
10,White,D,ARS,5.5,6.6,5.13,90,5.10,90,6.14,90,4.95,90,6.35,90
115,De Cuyper,D,BHA,4.6,7.8,4.95,77,6.24,77,5.83,77,4.59,77,6.04,77
391,Gvardiol,D,MCI,5.5,13.6,5.65,90,6.22,90,4.93,90,6.30,90,4.50,90
387,O'Reilly,D,MCI,6.5,20.9,5.59,62,6.16,62,4.89,62,6.23,62,4.46,62
368,Szoboszlai,M,LIV,7,43.2,5.70,90,5.60,90,5.57,90,5.55,90,4.80,90
4,Gabriel,D,ARS,8,29.1,4.94,90,4.92,90,5.98,90,4.76,90,6.21,90
40,Rogers,M,CHE,7.5,26.1,5.12,81,4.54,81,5.44,81,5.03,81,5.43,81
8,Calafiori,D,ARS,5.6,41.6,4.71,80,4.66,80,5.69,80,4.53,80,5.87,80
15,Ødegaard,M,ARS,6.6,11.5,4.85,75,4.89,75,5.28,75,4.83,75,5.41,75
557,Tzolis,M,ARS,6.5,26,4.88,75,4.89,75,5.26,75,4.87,75,5.36,75
398,Foden,M,MCI,7,4.1,5.01,81,5.30,81,4.74,81,5.32,81,4.56,81
453,Barnes,M,NEW,6,1.1,4.67,90,5.04,90,5.06,90,5.07,90,4.93,90
25,Gyökeres,F,ARS,7.4,6.9,4.76,65,4.82,55,5.06,55,4.79,55,5.17,55
454,Elanga,M,NEW,6,2,4.62,75,4.94,75,4.96,75,4.97,75,4.85,75
26,Havertz,F,ARS,7.5,7.4,2.45,35,5.13,90,5.37,90,5.10,90,5.47,90
514,Tel,M,TOT,6,0.5,4.46,90,4.82,90,4.92,90,4.65,90,4.44,90
357,Frimpong,D,LIV,5.5,3.4,5.14,90,4.93,90,4.84,90,4.88,90,3.40,90
236,Dewsbury-Hall,M,EVE,6.5,4.6,4.72,90,4.44,90,4.38,90,4.88,90,4.74,90
366,Wirtz,M,LIV,7.5,11.5,4.86,62,4.77,62,4.73,62,4.73,62,4.04,62
11,Mosquera,D,ARS,5.5,5.8,4.26,90,4.20,90,5.19,90,4.08,90,5.36,90
237,Ndiaye,M,EVE,6,16.1,4.70,90,4.41,90,4.35,90,4.84,90,4.72,90
335,Stach,M,LEE,6,2.3,4.73,90,4.62,90,4.56,90,4.79,90,4.18,90
449,Hall,D,NEW,5,4.1,3.95,90,4.71,90,4.83,90,4.73,90,4.53,90
68,Tavernier,M,BOU,6,2.4,4.92,90,4.34,90,4.60,90,4.40,90,4.40,90
390,Rúben,D,MCI,5.5,1.8,4.58,90,5.11,90,3.90,90,5.18,90,3.50,90
464,Wissa,F,NEW,6,3.3,4.25,90,4.49,90,4.47,90,4.51,90,4.40,90
356,Virgil,D,LIV,6.5,19.6,4.90,90,4.68,90,4.60,90,4.63,90,3.20,90
393,Khusanov,D,MCI,5.5,1.7,4.53,90,5.04,90,3.85,90,5.12,90,3.45,90
426,B.Fernandes,M,MUN,12,48.4,4.76,90,4.58,90,3.77,90,4.44,90,4.42,90
94,Schade,M,BRE,6,3.5,4.55,90,4.63,90,4.46,90,4.14,90,4.14,90
123,Hinshelwood,M,BHA,6,2.5,4.10,16,4.58,29,4.42,47,3.97,60,4.49,63
428,Cunha,M,MUN,8,9.4,4.63,79,4.47,79,3.72,79,4.34,79,4.32,79
86,Lewis-Potter,M,BRE,5.5,1,4.42,90,4.50,90,4.34,90,4.08,90,4.07,90
67,Rayan,M,BOU,6.5,2.8,4.69,88,4.08,88,4.33,88,4.13,88,4.13,88
527,Richarlison,F,TOT,6,2.9,4.13,67,4.37,67,4.45,67,4.26,67,4.11,67
88,Kayode,D,BRE,4.6,7.4,4.57,75,4.73,75,4.36,75,3.79,75,3.84,75
223,Mateta,F,CRY,6.5,5.2,3.66,62,4.19,62,4.41,62,4.38,62,4.39,62
142,James,D,CHE,5.5,10,4.10,90,3.18,90,4.82,90,4.08,90,4.81,90
200,Lacroix,D,CHE,6,9.5,4.08,90,3.28,90,4.75,90,4.08,90,4.75,90
127,Gomez,M,BHA,5,3.8,3.97,85,4.47,85,4.31,85,3.82,85,4.38,85
440,Zirkzee,F,MUN,5.5,0.5,4.42,65,4.30,55,3.74,55,4.24,55,4.24,55
445,Thiaw,D,NEW,5,1.7,3.58,90,4.33,90,4.45,90,4.35,90,4.16,90
106,Thiago,F,BRE,8,16.6,4.30,82,4.37,82,4.22,82,3.97,82,3.94,82
156,Neto,M,CHE,6.5,1.2,4.16,65,3.71,55,4.42,55,4.09,55,4.42,55
358,Kerkez,D,LIV,5.5,3.5,4.61,90,4.40,90,4.31,90,4.35,90,2.94,90
499,Pedro Porro,D,TOT,5.5,13.6,3.68,65,4.48,55,4.69,55,4.13,55,3.60,55
447,Botman,D,NEW,5,0.5,3.53,90,4.25,90,4.37,90,4.27,90,4.09,90
130,Wieffer,D,BHA,5,0.4,3.58,77,4.72,77,4.37,77,3.26,77,4.57,77
13,Rice,M,ARS,7.5,17,3.92,67,3.95,67,4.30,67,3.89,67,4.42,67
87,Ajer,D,BRE,4.5,4,4.38,90,4.53,90,4.18,90,3.59,90,3.66,90
346,Calvert-Lewin,F,LEE,6,28.8,4.20,90,4.13,90,4.03,90,4.22,90,3.59,90
593,Dedić,D,NEW,4.5,0.4,3.46,90,4.17,90,4.29,90,4.18,90,4.01,90
480,Gibbs-White,M,NFO,8,8.6,3.73,90,4.05,90,3.92,90,4.39,90,4.01,90
84,Collins,D,BRE,5.5,2.1,4.33,90,4.50,90,4.12,90,3.52,90,3.58,90
417,Dalot,D,MUN,5,2.5,4.62,65,4.42,55,2.91,55,4.05,55,3.98,55
55,Watkins,F,AVL,7.9,7.9,3.70,65,4.14,55,4.22,55,3.90,55,4.01,55
114,Boscagli,D,BHA,4.5,0.3,3.48,90,4.62,90,4.26,90,3.15,90,4.47,90
268,King,M,FUL,5.5,0.5,4.23,90,4.06,90,3.66,90,3.90,90,4.12,90
1,Raya,G,ARS,6,38.3,3.65,90,3.60,90,4.53,90,3.47,90,4.69,90
372,Mac Allister,M,LIV,5.5,1.6,4.17,65,4.10,55,4.06,55,4.07,55,3.50,55
155,Enzo,M,CHE,7,4.5,3.98,65,3.52,55,4.25,55,3.91,55,4.24,55
222,Strand Larsen,F,CRY,6,0.5,3.50,65,3.98,55,4.15,55,4.13,55,4.13,55
201,Muñoz,D,CRY,5.5,8.4,2.66,54,3.79,55,4.46,55,4.52,55,4.45,55
362,Jacquet,D,LIV,5,2.4,4.40,69,4.22,69,4.13,69,4.17,69,2.91,69
